"lspr_nid","mater_fcosto_unitario","mater_nid","cia_nid"
94222,0.23,75155,58
94223,0.87,75156,58
94224,0.23,75157,58
94225,0.98,75158,58
94252,1.0,75185,58
94259,1.0,75192,58
94260,1.0,75193,58
94261,1.0,75194,58
94266,1.0,75199,58
94265,1.0,75198,58
94364,1.0,75297,58
94394,1.0,75327,58
94406,1.0,75339,58
94496,1.0,75429,58
94559,1.0,75492,58
94564,1.0,75497,58
94565,1.0,75498,58
94585,1.0,75518,58
94587,1.0,75520,58
94588,1.0,75521,58
94592,1.0,75525,58
94593,1.0,75526,58
94594,1.0,75527,58
94595,1.0,75528,58
94596,1.0,75529,58
94597,1.0,75530,58
94598,1.0,75531,58
94601,1.0,75534,58
94602,1.0,75535,58
94603,1.0,75536,58
94605,1.0,75538,58
94606,1.0,75539,58
94607,1.0,75540,58
94610,1.0,75543,58
94614,1.0,75547,58
94615,1.0,75548,58
94616,1.0,75549,58
94620,1.0,75553,58
94621,1.0,75554,58
94629,1.0,75562,58
94630,1.0,75563,58
94631,1.0,75564,58
94632,1.0,75565,58
94633,1.0,75566,58
94634,1.0,75567,58
94635,1.0,75568,58
94636,1.0,75569,58
94637,1.0,75570,58
94638,1.0,75571,58
94639,1.0,75572,58
94640,1.0,75573,58
94641,1.0,75574,58
94645,1.0,75578,58
94646,1.0,75579,58
94647,1.0,75580,58
94648,1.0,75581,58
94656,1.0,75589,58
94657,1.0,75590,58
94658,1.0,75591,58
94659,1.0,75592,58
94660,1.0,75593,58
94661,1.0,75594,58
94662,1.0,75595,58
94663,1.0,75596,58
94664,1.0,75597,58
94668,1.0,75601,58
94669,1.0,75602,58
94670,1.0,75603,58
94671,1.0,75604,58
